date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:45:21	110102/110102	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:45:09%20GMT	http://tieuhocyenso.edu.vn/tin-tuc-su-kien/truong-tieu-hoc-yen-so-to-chuc-nhieu-hoat-dong-chao-mung-ki-.html	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/tin-tuc-su-kien/truong-tieu-hoc-yen-so-to-chuc-nhieu-hoat-dong-chao-mung-ki-.html	(from http://tieuhocyenso.edu.vn/)
20:45:26	109002/109002	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:45:13%20GMT	http://tieuhocyenso.edu.vn/tin-tuc-su-kien/truong-tieu-hoc-yen-so-quyet-tam-thi-dua-xay-dung-doi-ngu-gi.html	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/tin-tuc-su-kien/truong-tieu-hoc-yen-so-quyet-tam-thi-dua-xay-dung-doi-ngu-gi.html	(from http://tieuhocyenso.edu.vn/)
20:45:27	112636/112636	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:45:15%20GMT	http://tieuhocyenso.edu.vn/tin-tuc-su-kien/tin-cua-truong/truong-tieu-hoc-yen-so-lam-tot-cong-tac-tuyen-truyen-cham-so.html	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/tin-tuc-su-kien/tin-cua-truong/truong-tieu-hoc-yen-so-lam-tot-cong-tac-tuyen-truyen-cham-so.html	(from http://tieuhocyenso.edu.vn/)
20:45:30	107903/107903	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:45:16%20GMT	http://tieuhocyenso.edu.vn/tin-tuc-su-kien/tin-cua-truong/truong-tieu-hoc-yen-so-to-chuc-nhieu-hoat-dong-huong-ung-nga.html	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/tin-tuc-su-kien/tin-cua-truong/truong-tieu-hoc-yen-so-to-chuc-nhieu-hoat-dong-huong-ung-nga.html	(from http://tieuhocyenso.edu.vn/)
20:45:33	105469/105469	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:45:22%20GMT	http://tieuhocyenso.edu.vn/tin-tuc-su-kien/tuyen-truyen-quyen-va-bon-phan-tre-em.html	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/tin-tuc-su-kien/tuyen-truyen-quyen-va-bon-phan-tre-em.html	(from http://tieuhocyenso.edu.vn/)
20:45:41	100989/100989	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:45:27%20GMT	http://tieuhocyenso.edu.vn/tin-tuc-su-kien/tin-cua-truong/muc-xu-phat-doi-voi-mot-so-hanh-vi-vi-pham-phap-luat-phong-c.html	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/tin-tuc-su-kien/tin-cua-truong/muc-xu-phat-doi-voi-mot-so-hanh-vi-vi-pham-phap-luat-phong-c.html	(from http://tieuhocyenso.edu.vn/)
20:45:42	101502/101502	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:45:29%20GMT	http://tieuhocyenso.edu.vn/tin-tuc-su-kien/tin-cua-truong/cuoc-thi-tai-nang-anh-ngu-viet-nam-trong-thieu-nhi-thu-do-na.html	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/tin-tuc-su-kien/tin-cua-truong/cuoc-thi-tai-nang-anh-ngu-viet-nam-trong-thieu-nhi-thu-do-na.html	(from http://tieuhocyenso.edu.vn/)
20:45:44	111949/111949	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:45:31%20GMT	http://tieuhocyenso.edu.vn/tin-tuc-su-kien/tin-cua-truong/cuoc-thi-ve-tranh-kem-khau-hieu-slogan-phong-chong-tac-hai-c.html	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/tin-tuc-su-kien/tin-cua-truong/cuoc-thi-ve-tranh-kem-khau-hieu-slogan-phong-chong-tac-hai-c.html	(from http://tieuhocyenso.edu.vn/)
20:45:46	100447/100447	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:45:33%20GMT	http://tieuhocyenso.edu.vn/tin-tuc-su-kien/16-tieu-chi-danh-gia-muc-do-an-toan-truong-hoc.html	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/tin-tuc-su-kien/16-tieu-chi-danh-gia-muc-do-an-toan-truong-hoc.html	(from http://tieuhocyenso.edu.vn/)
20:45:49	990/990	---M--	200	added ('OK')	image/jpeg	etag:%225bb8388e-3de%22	http://tieuhocyenso.edu.vn/App/Corporate/images/Statistic/1.jpg	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/App/Corporate/images/Statistic/1.jpg	(from http://tieuhocyenso.edu.vn/)
